n,m,avg_deg,unionfind,accesses
32,92,5,naive,1040
32,92,5,pc,715
32,92,5,rank,484
32,92,5,pc+rank,617
64,174,5,naive,1851
64,174,5,pc,1409
64,174,5,rank,1224
64,174,5,pc+rank,1275
128,327,5,naive,7822
128,327,5,pc,2988
128,327,5,rank,2019
128,327,5,pc+rank,2362
256,639,5,naive,26077
256,639,5,pc,6549
256,639,5,rank,4019
256,639,5,pc+rank,4679
512,1265,5,naive,109579
512,1265,5,pc,13956
512,1265,5,rank,8161
512,1265,5,pc+rank,9294
1024,2577,5,naive,412406
1024,2577,5,pc,29671
1024,2577,5,rank,16732
1024,2577,5,pc+rank,19039
2048,5057,5,naive,1499905
2048,5057,5,pc,61185
2048,5057,5,rank,33884
2048,5057,5,pc+rank,37579
4096,10210,5,naive,6673650
4096,10210,5,pc,129751
4096,10210,5,rank,68750
4096,10210,5,pc+rank,75485
8192,20158,5,naive,23244769
8192,20158,5,pc,264447
8192,20158,5,rank,138532
8192,20158,5,pc+rank,150271
16384,40821,5,naive,97153019
16384,40821,5,pc,564634
16384,40821,5,rank,281558
16384,40821,5,pc+rank,302826
32768,81624,5,pc,1167014
32768,81624,5,rank,567572
32768,81624,5,pc+rank,607018
65536,164226,5,pc,2436428
65536,164226,5,rank,1158484
65536,164226,5,pc+rank,1222136
131072,327925,5,pc,5062183
131072,327925,5,rank,2321697
131072,327925,5,pc+rank,2438813
262144,654608,5,pc,10494651
262144,654608,5,rank,4592507
262144,654608,5,pc+rank,4867877
524288,1312781,5,pc,21754440
524288,1312781,5,rank,9222226
524288,1312781,5,pc+rank,9763142
1048576,2618129,5,pc,44923495
1048576,2618129,5,rank,18429544
1048576,2618129,5,pc+rank,19482593
2097152,5246382,5,pc,92997246
2097152,5246382,5,rank,36853373
2097152,5246382,5,pc+rank,39017542
32,72,5,naive,749
32,72,5,pc,661
32,72,5,rank,423
32,72,5,pc+rank,535
64,149,5,naive,2062
64,149,5,pc,1281
64,149,5,rank,918
64,149,5,pc+rank,1069
128,341,5,naive,8510
128,341,5,pc,3270
128,341,5,rank,2016
128,341,5,pc+rank,2436
256,617,5,naive,22087
256,617,5,pc,6395
256,617,5,rank,4152
256,617,5,pc+rank,4609
512,1237,5,naive,104706
512,1237,5,pc,13756
512,1237,5,rank,8068
512,1237,5,pc+rank,9166
1024,2568,5,naive,375523
1024,2568,5,pc,29494
1024,2568,5,rank,17052
1024,2568,5,pc+rank,19008
2048,5182,5,naive,1471637
2048,5182,5,pc,61012
2048,5182,5,rank,35306
2048,5182,5,pc+rank,38304
4096,10323,5,naive,6389968
4096,10323,5,pc,130083
4096,10323,5,rank,72980
4096,10323,5,pc+rank,76729
8192,20637,5,naive,23839969
8192,20637,5,pc,269443
8192,20637,5,rank,139617
8192,20637,5,pc+rank,153045
16384,41206,5,naive,95992472
16384,41206,5,pc,564053
16384,41206,5,rank,292229
16384,41206,5,pc+rank,306533
32768,82093,5,pc,1171283
32768,82093,5,rank,588096
32768,82093,5,pc+rank,611217
65536,163359,5,pc,2431647
65536,163359,5,rank,1143367
65536,163359,5,pc+rank,1216137
131072,328153,5,pc,5080321
131072,328153,5,rank,2299714
131072,328153,5,pc+rank,2440219
262144,656243,5,pc,10525847
262144,656243,5,rank,4627103
262144,656243,5,pc+rank,4880059
524288,1312367,5,pc,21776466
524288,1312367,5,rank,9193581
524288,1312367,5,pc+rank,9759930
1048576,2623821,5,pc,44989496
